iter	Passed	Remaining
0	59	59528
1	59	29894
2	60	20053
3	60	15104
4	61	12172
5	61	10179
6	61	8748
7	62	7693
8	62	6862
9	62	6195
10	62	5651
11	63	5202
12	63	4826
13	63	4503
14	64	4214
15	64	3966
16	64	3748
17	65	3561
18	65	3386
19	65	3230
20	66	3086
21	66	2959
22	66	2845
23	67	2735
24	67	2635
25	67	2546
26	68	2458
27	68	2380
28	68	2305
29	69	2237
30	69	2172
31	69	2110
32	70	2053
33	70	1998
34	70	1947
35	70	1899
36	71	1852
37	71	1808
38	71	1768
39	72	1728
40	72	1693
41	72	1657
42	72	1624
43	73	1591
44	73	1560
45	73	1529
46	74	1501
47	74	1474
48	74	1448
49	74	1424
50	75	1400
51	75	1379
52	76	1357
53	76	1337
54	76	1316
55	76	1297
56	77	1277
57	77	1259
58	77	1242
59	78	1225
60	78	1208
61	78	1192
62	79	1176
63	79	1160
64	79	1145
65	79	1130
66	80	1116
67	80	1100
68	80	1087
69	80	1074
70	81	1062
71	81	1051
72	81	1039
73	82	1026
74	82	1015
75	82	1005
76	82	993
77	83	983
78	83	973
79	83	963
80	84	953
81	84	944
82	84	935
83	84	925
84	85	915
85	85	907
86	85	897
87	85	889
88	86	881
89	86	873
90	86	865
91	86	857
92	87	850
93	87	843
94	87	836
95	88	829
96	88	822
97	88	816
98	88	809
99	89	803
100	89	796
101	89	788
102	89	782
103	90	776
104	90	770
105	90	764
106	90	759
107	91	753
108	91	748
109	91	742
110	92	737
111	92	732
112	92	727
113	92	722
114	93	717
115	93	711
116	93	706
117	93	701
118	94	696
119	94	692
120	94	687
121	94	683
122	94	677
123	95	672
124	95	668
125	95	664
126	96	660
127	96	655
128	96	651
129	96	648
130	97	644
131	97	641
132	97	637
133	98	633
134	98	629
135	98	626
136	98	622
137	99	619
138	99	615
139	99	611
140	99	608
141	100	605
142	100	601
143	100	598
144	101	595
145	101	592
146	101	589
147	101	586
148	102	583
149	102	581
150	102	578
151	103	575
152	103	572
153	103	569
154	103	566
155	104	563
156	104	561
157	104	558
158	105	556
159	105	553
160	105	551
161	106	548
162	106	545
163	106	543
164	106	541
165	107	538
166	107	535
167	107	533
168	107	530
169	108	528
170	108	526
171	108	524
172	109	521
173	109	519
174	109	517
175	109	514
176	110	512
177	110	510
178	110	508
179	111	505
180	111	502
181	111	500
182	111	498
