iter	Passed	Remaining
0	58	58819
1	59	29603
2	59	19842
3	60	14957
4	60	12042
5	60	10083
6	61	8685
7	61	7636
8	61	6816
9	62	6164
10	62	5637
11	63	5192
12	63	4812
13	63	4485
14	63	4200
15	64	3953
16	64	3732
17	64	3537
18	65	3361
19	65	3203
20	65	3060
21	65	2931
22	66	2811
23	66	2704
24	66	2604
25	67	2513
26	67	2428
27	67	2351
28	68	2279
29	68	2210
30	68	2145
31	68	2083
32	69	2025
33	69	1970
34	69	1921
35	70	1876
36	70	1831
37	70	1788
38	70	1747
39	71	1707
40	71	1670
41	71	1634
42	71	1602
43	72	1572
44	72	1541
45	72	1512
46	73	1486
47	73	1460
48	73	1436
49	74	1410
50	74	1386
51	74	1363
52	75	1340
53	75	1319
54	75	1299
55	76	1281
56	76	1262
57	76	1244
58	76	1226
59	77	1209
60	77	1193
61	77	1177
62	78	1161
63	78	1145
64	78	1130
65	78	1115
66	79	1101
67	79	1087
68	79	1074
69	79	1062
70	80	1050
71	80	1037
72	80	1026
73	81	1015
74	81	1005
75	81	995
76	82	985
77	82	975
78	82	965
79	83	955
80	83	945
81	83	936
82	83	925
83	84	916
84	84	907
85	84	900
86	84	891
87	85	883
88	85	876
89	85	868
90	86	861
91	86	853
92	86	846
93	87	838
94	87	832
95	87	825
96	88	819
97	88	814
98	88	807
99	89	801
100	89	795
101	89	788
102	89	782
103	90	776
104	90	770
105	90	764
106	90	759
107	91	753
108	91	747
109	91	742
110	92	737
111	92	732
112	92	727
113	92	722
114	93	717
115	93	711
116	93	706
117	93	702
118	94	697
119	94	693
120	94	689
121	95	684
122	95	680
123	95	676
124	96	672
125	96	668
126	96	664
127	96	660
128	97	657
129	97	653
130	97	649
131	98	646
132	98	642
133	98	639
134	99	635
135	99	632
136	99	628
137	100	625
138	100	622
139	100	619
140	101	616
141	101	612
142	101	610
143	102	606
144	102	604
145	102	600
146	103	598
147	103	594
148	103	592
149	104	589
150	104	587
151	105	586
152	105	583
153	105	580
154	106	578
155	106	575
156	106	572
157	107	570
158	107	567
159	107	565
160	107	561
161	108	559
162	108	557
163	108	554
164	109	552
165	109	550
166	109	548
167	110	546
